	ESC_WT.bam	Copies	length	RPK	TPM
REF_NM_009080	10303	1	2969	3470.191984	989.1914942
REF_NM_010499	5256	1	1522	3453.350854	984.3908658
REF_NR_002896	9789	1	2840	3446.830986	982.5323524
REF_NM_023627	9615	1	2810	3421.708185	975.371002
REF_NR_033595	7362	1	2163	3403.606103	970.2109342
REF_NM_001190327	4724	1	1402	3369.472183	960.4809297
REF_NM_026147	13703	1	4072	3365.176817	959.2565194
REF_NM_009415	12293	1	3705	3317.948718	945.7939691
REF_NM_008231	32492	1	9812	3311.455361	943.9430128
REF_NM_011508	7090	1	2151	3296.14133	939.5776897
REF_NM_016776	33175	1	10173	3261.08326	929.5842528
REF_NR_033639	1380	1	426	3239.43662	923.4137953
REF_NM_013762	17953	1	5626	3191.077142	909.6287412
REF_NM_175103	2204	1	694	3175.792507	905.2717977
REF_NM_001081202	37171	1	11733	3168.072957	903.0713103
REF_NM_009687	6894	1	2240	3077.678571	877.3040451
REF_NM_009266	6682	1	2179	3066.544286	874.1301746
REF_NM_020600	12074	1	3951	3055.935206	871.1060157
REF_NM_130877	39983	1	13211	3026.493074	862.7134233
REF_NM_133668	22255	1	7386	3013.132954	858.9050701
REF_NM_018777	9286	1	3083	3012.001297	858.582487
REF_NM_009092	7536	1	2502	3011.990408	858.5793829
REF_NM_011712	6184	1	2060	3001.941748	855.7149739
REF_NM_023054	4779	1	1601	2985.009369	850.8883347
REF_NM_019402	14226	1	4785	2973.040752	847.4766347
REF_NM_028602	6448	1	2171	2970.05988	846.6269257
REF_NM_023418	19934	1	6795	2933.627667	836.2417841
REF_NM_007531	13620	1	4657	2924.62959	833.6768477
REF_NM_007637	31930	1	10921	2923.724934	833.418972
REF_NM_009104	17147	1	5893	2909.723401	829.4277815
REF_NM_007750	7137	1	2459	2902.399349	827.3400326
REF_NM_133976	2601	1	899	2893.214683	824.7219084
REF_NM_010202	11105	1	3858	2878.434422	820.5087384
REF_NM_026318	3838	1	1353	2836.659276	808.6005733
REF_NM_011631	41399	1	14604	2834.771296	808.0623973
REF_NM_008251	17391	1	6138	2833.333333	807.6525007
REF_NR_040721	5220	1	1845	2829.268293	806.4937453
REF_NM_007636	36153	1	12817	2820.706874	804.0532801
REF_NM_029751	7590	1	2722	2788.390889	794.8414851
REF_NM_010477	28158	1	10099	2788.196851	794.7861738
REF_NM_145569	18798	1	6760	2780.769231	792.6689022
REF_NM_010028	35937	1	12962	2772.488813	790.3085376
REF_NM_011119	22470	1	8169	2750.642674	784.0812119
REF_NM_023871	29001	1	10582	2740.597241	781.2177228
REF_NM_009448	22195	1	8215	2701.765064	770.1484624
REF_NM_001277340	4562	1	1692	2696.217494	768.5671064
REF_NM_019479	4672	1	1740	2685.057471	765.3858992
REF_NM_010772	11641	1	4343	2680.40525	764.0597657
REF_NM_013614	17727	1	6630	2673.755656	762.1642736
REF_NM_016959	12458	1	4729	2634.383591	750.9411158
REF_NM_026820	6305	1	2399	2628.178408	749.1723046
REF_NM_025310	17270	1	6659	2593.482505	739.2821049
REF_NM_010217	8381	1	3241	2585.930268	737.129311
REF_NM_009272	7958	1	3107	2561.313164	730.1121112
REF_NM_011045	9939	1	3895	2551.732991	727.3812463
REF_NM_175121	31366	1	12307	2548.63086	726.4969722
REF_NM_009434	2471	1	977	2529.170931	720.949845
REF_NM_019883	5240	1	2102	2492.863939	710.600398
REF_NM_016690	14050	1	5644	2489.369242	709.6042211
REF_NR_015536	5560	1	2236	2486.583184	708.8100448
REF_NM_023119	28891	1	11677	2474.180012	705.2744731
REF_NM_025554	9152	1	3707	2468.84273	703.7530605
REF_NM_011313	3753	1	1521	2467.455621	703.3576598
REF_NM_001037279	3659	1	1488	2459.005376	700.9488852
REF_NM_018730	2095	1	852	2458.920188	700.9246019
REF_NM_145478	8679	1	3533	2456.552505	700.2496848
REF_NM_011975	7763	1	3175	2445.03937	696.9678217
REF_NM_026377	9306	1	3833	2427.863292	692.0717151
REF_NM_007450	8889	1	3666	2424.713584	691.1738787
REF_NM_207634	13243	1	5466	2422.795463	690.6271109
REF_NM_001113566	53862	1	22324	2412.739652	687.7606637
REF_NM_015735	57206	1	24197	2364.177377	673.9178015
REF_NM_001304432	47102	1	20157	2336.756462	666.1013646
REF_NM_145385	11031	1	4762	2316.463671	660.316827
REF_NM_011034	33244	1	14402	2308.290515	657.9870377
REF_NM_009698	5229	1	2271	2302.509908	656.3392534
REF_NM_011401	34096	1	14937	2282.653813	650.6791976
REF_NM_009941	13614	1	5985	2274.686717	648.4081465
REF_NM_023665	8474	1	3746	2262.146289	644.8334497
REF_NM_029083	4738	1	2096	2260.496183	644.3630806
REF_NM_010227	52157	1	23074	2260.422987	644.3422157
REF_NM_008252	9332	1	4157	2244.88814	639.9139484
REF_NM_178376	3605	1	1611	2237.740534	637.8764958
REF_NM_021510	19638	1	8810	2229.057889	635.4014746
REF_NM_008946	5561	1	2502	2222.621902	633.5668721
REF_NM_010516	6671	1	3015	2212.603648	630.7111305
REF_NM_016738	6368	1	2893	2201.175251	627.453422
REF_NM_001160239	3570	1	1637	2180.818571	621.6506725
REF_NM_001195487	15747	1	7226	2179.21395	621.1932691
REF_NM_182990	21737	1	9995	2174.787394	619.9314625
REF_NM_177301	24703	1	11377	2171.310539	618.9403717
REF_NM_008709	12459	1	5744	2169.045961	618.2948451
REF_NM_175332	5030	1	2330	2158.798283	615.3737054
REF_NR_003270	3785	1	1754	2157.924743	615.1246995
REF_NM_001271590	15790	1	7347	2149.176535	612.6309891
REF_NM_019682	8278	1	3881	2132.955424	608.0070995
REF_NM_011295	4310	1	2027	2126.295017	606.1085251
REF_NM_016876	8859	1	4242	2088.401697	595.3068894
REF_NM_009837	26579	1	12744	2085.608914	594.5107958
REF_NM_008303	6589	1	3170	2078.548896	592.4983107
REF_NM_053162	1710	1	828	2065.217391	588.6981143
REF_NR_028529	95	1	46	2065.217391	588.6981143
REF_NM_021511	4205	1	2048	2053.222656	585.2789692
REF_NM_009077	5652	1	2765	2044.122966	582.6850676
REF_NM_009159	10192	1	5004	2036.770584	580.589243
REF_NM_001039352	19685	1	9697	2030.009281	578.6619079
REF_NM_172746	6363	1	3151	2019.358934	575.6259856
REF_NM_009082	4089	1	2029	2015.278462	574.4628316
REF_NM_173363	17390	1	8653	2009.707616	572.8748406
REF_NR_045010	31463	1	15714	2002.227313	570.7425517
REF_NM_001159483	7561	1	3784	1998.150106	569.5803281
REF_NM_026007	22240	1	11140	1996.409336	569.084115
REF_NM_026055	5367	1	2705	1984.103512	565.5762928
REF_NM_013647	3976	1	2010	1978.109453	563.8676633
REF_NM_138606	10100	1	5127	1969.962941	561.5454691
REF_NM_001301034	5175	1	2635	1963.946869	559.8305647
REF_NR_030738	3763	1	1930	1949.740933	555.7811082
REF_NM_025546	19976	1	10256	1947.73791	555.2101388
REF_NM_009076	4490	1	2334	1923.736075	548.3683242
REF_NM_016844	2797	1	1462	1913.132695	545.3457901
REF_NM_009831	12838	1	6735	1906.161841	543.3587215
REF_NM_198657	19252	1	10171	1892.832563	539.5591599
REF_NR_030703	138	1	73	1890.410959	538.8688723
REF_NM_025313	6529	1	3504	1863.299087	531.1405295
REF_NM_010385	2643	1	1435	1841.811847	525.0155096
REF_NM_145610	7365	1	4005	1838.951311	524.2001029
REF_NM_175229	39539	1	21557	1834.160597	522.8344917
REF_NM_172609	3654	1	1995	1831.578947	522.0985825
REF_NM_012002	5262	1	2883	1825.182102	520.2751372
REF_NM_016777	49047	1	26900	1823.30855	519.7410741
REF_NM_008379	51067	1	28183	1811.978852	516.5115005
REF_NR_036613	19405	1	10713	1811.350695	516.3324419
REF_NM_026542	8203	1	4537	1808.022923	515.3838476
REF_NM_007633	17159	1	9507	1804.880614	514.4881205
REF_NM_008842	7921	1	4415	1794.110985	511.4181966
REF_NM_001168502	17106	1	9567	1788.021323	509.6823152
REF_NM_011732	30604	1	17187	1780.648164	507.580568
REF_NM_025366	2484	1	1399	1775.553967	506.1284476
REF_NM_011969	10812	1	6098	1773.040341	505.4119289
REF_NM_010664	6722	1	3811	1763.841511	502.7897673
REF_NM_010481	29643	1	16937	1750.191888	498.8988899
REF_NM_001301341	21341	1	12212	1747.5434	498.1439283
REF_NM_026785	5184	1	2974	1743.106927	496.8792947
REF_NM_001271579	39048	1	22497	1735.698093	494.7673783
REF_NM_207523	4591	1	2650	1732.45283	493.8423037
REF_NM_011032	21866	1	12633	1730.863611	493.3892908
REF_NM_025338	3135	1	1830	1713.114754	488.3299112
REF_NM_018858	8411	1	4914	1711.640212	487.9095872
REF_NM_019693	20445	1	11962	1709.162347	487.2032626
REF_NM_001204973	18053	1	10589	1704.882425	485.9832544
REF_NM_009263	10123	1	5943	1703.348477	485.5459966
REF_NM_007527	8859	1	5204	1702.34435	485.2597665
REF_NM_178602	12821	1	7547	1698.820723	484.2553431
REF_NM_198095	5384	1	3176	1695.214106	483.227263
REF_NM_145556	24707	1	14615	1690.523435	481.8901693
REF_NM_029660	2487	1	1472	1689.538043	481.6092797
REF_NM_001199044	26495	1	15792	1677.748227	478.2485474
REF_NM_009128	22066	1	13187	1673.314628	476.9847331
REF_NM_009768	12753	1	7622	1673.182892	476.9471811
REF_NM_007515	10363	1	6196	1672.530665	476.7612614
REF_NM_029352	6791	1	4074	1666.912126	475.1596753
REF_NM_007638	28279	1	16973	1666.116774	474.9329572
REF_NM_016904	4687	1	2820	1662.056738	473.7756284
REF_NM_018810	37450	1	22549	1660.827531	473.4252384
REF_NM_020491	2366	1	1427	1658.023826	472.6260316
REF_NM_001289726	7632	1	4616	1653.379549	471.3021627
REF_NM_133777	7137	1	4327	1649.410677	470.1708205
REF_NM_011141	4966	1	3011	1649.285952	470.135267
REF_NM_009081	2606	1	1583	1646.241314	469.2673814
REF_NM_026014	8400	1	5116	1641.90774	468.0320797
REF_NM_008248	6649	1	4059	1638.088199	466.9433048
REF_NM_146093	6707	1	4098	1636.652025	466.533918
REF_NM_023260	1878	1	1154	1627.383016	463.8917513
REF_NM_026943	4696	1	2889	1625.475943	463.3481331
REF_NM_007927	5170	1	3207	1612.098534	459.5348515
REF_NM_026268	6854	1	4259	1609.297957	458.7365363
REF_NM_001163485	4438	1	2769	1602.744673	456.8684976
REF_NM_025352	3001	1	1884	1592.887473	454.0586651
REF_NM_001190161	7015	1	4428	1584.236676	451.5927222
REF_NM_011192	11527	1	7280	1583.379121	451.3482729
REF_NM_053164	2259	1	1429	1580.825752	450.6204254
REF_NM_007481	6053	1	3831	1580.005221	450.3865297
REF_NR_002889	1860	1	1189	1564.339781	445.9210363
REF_NM_015747	19969	1	12840	1555.218069	443.3208572
REF_NR_002847	10850	1	6982	1553.99599	442.972499
REF_NM_008321	2441	1	1571	1553.787397	442.9130387
REF_NM_020584	14230	1	9170	1551.799346	442.3463372
REF_NM_080559	2081	1	1348	1543.768546	440.057127
REF_NM_146036	11108	1	7225	1537.439446	438.252993
REF_NM_001303408	17013	1	11099	1532.840796	436.9421303
REF_NM_008948	8285	1	5423	1527.752167	435.4915969
REF_NM_017461	6117	1	4004	1527.722278	435.4830769
REF_NM_027945	2969	1	1954	1519.447288	433.1242593
REF_NR_029468	3566	1	2347	1519.386451	433.1069176
REF_NM_009033	5532	1	3660	1511.47541	430.8518451
REF_NR_003964	1059	1	704	1504.261364	428.7954536
REF_NM_022891	7354	1	4914	1496.540497	426.594591
REF_NM_011816	47239	1	31600	1494.905063	426.1284045
REF_NM_001282041	14661	1	9825	1492.21374	425.3612326
REF_NM_018749	17482	1	11827	1478.143232	421.3503802
REF_NM_145836	6063	1	4112	1474.464981	420.3018807
REF_NM_026932	10255	1	6978	1469.618802	418.920459
REF_NM_009536	48364	1	32955	1467.576999	418.3384352
REF_NM_001311101	5043	1	3447	1463.011314	417.0369693
REF_NR_037313	117	1	80	1462.5	416.8912173
REF_NM_013642	4210	1	2882	1460.791117	416.4040937
REF_NM_008568	10556	1	7274	1451.196041	413.6689804
REF_NM_001077709	4970	1	3425	1451.094891	413.6401472
REF_NM_009790	15066	1	10390	1450.048123	413.3417622
REF_NM_170777	1709	1	1181	1447.078747	412.4953301
REF_NM_053163	1690	1	1170	1444.444444	411.7444121
REF_NR_028574	1129	1	785	1438.216561	409.96913
REF_NM_026618	1403	1	979	1433.094995	408.5092081
REF_NM_018798	4763	1	3327	1431.620078	408.0887775
REF_NM_178598	10161	1	7130	1425.105189	406.2316835
REF_NM_008057	6834	1	4809	1421.085465	405.0858456
REF_NR_028094	7996	1	5678	1408.242339	401.4248635
REF_NM_001277113	13584	1	9647	1408.106147	401.3860415
REF_NM_007989	2428	1	1725	1407.536232	401.223585
REF_NM_023203	5203	1	3706	1403.939557	400.1983392
REF_NM_021273	4189	1	2984	1403.820375	400.1643659
REF_NM_010817	11354	1	8103	1401.209429	399.4201055
REF_NM_138659	31661	1	22671	1396.541838	398.0895909
REF_NR_024067	2887	1	2094	1378.701051	393.0040063
REF_NM_008950	9533	1	6928	1376.010393	392.237024
REF_NM_010123	40487	1	29578	1368.821421	390.1877802
REF_NM_145833	21118	1	15487	1363.595273	388.6980468
REF_NM_025954	1527	1	1124	1358.540925	387.2572855
REF_NM_001285907	5997	1	4418	1357.401539	386.9324991
REF_NM_133794	10748	1	7937	1354.164042	386.0096381
REF_NM_001160251	7425	1	5491	1352.212712	385.453404
REF_NM_025391	5465	1	4052	1348.716683	384.4568477
REF_NM_025598	1559	1	1162	1341.652324	382.443125
REF_NM_019647	5540	1	4143	1337.195269	381.1726246
REF_NM_001252477	12896	1	9666	1334.160977	380.3076879
REF_NM_011434	7404	1	5583	1326.168726	378.0294664
REF_NM_001289850	1726	1	1303	1324.635457	377.592402
REF_NM_025586	4185	1	3164	1322.692794	377.0386386
REF_NM_010256	33815	1	25576	1322.137942	376.8804759
REF_NM_013538	4653	1	3526	1319.625638	376.1643341
REF_NM_008452	3421	1	2593	1319.32125	376.077567
REF_NM_023716	4414	1	3347	1318.792949	375.9269728
REF_NM_025824	17688	1	13413	1318.720644	375.9063621
REF_NM_009795	10687	1	8107	1318.243493	375.7703484
REF_NM_007793	2569	1	1953	1315.412186	374.9632736
REF_NM_008495	4917	1	3741	1314.354451	374.661762
REF_NM_011563	6771	1	5189	1304.875699	371.9598074
REF_NM_022816	2005	1	1537	1304.489265	371.849653
REF_NM_008564	19949	1	15307	1303.259946	371.4992311
REF_NM_009225	10059	1	7729	1301.462026	370.986727
REF_NM_007748	4276	1	3302	1294.972744	369.1369323
REF_NM_001190444	6335	1	4899	1293.121045	368.6090985
REF_NM_008891	9179	1	7099	1292.999014	368.5743131
REF_NM_007614	35043	1	27108	1292.718017	368.4942137
REF_NM_019553	28498	1	22052	1292.309088	368.3776469
REF_NM_009085	5331	1	4126	1292.050412	368.3039104
REF_NR_000040	1736	1	1347	1288.789903	367.37449
REF_NM_001286944	3707	1	2878	1288.047255	367.1627952
REF_NM_008617	14991	1	11738	1277.134094	364.0519571
REF_NM_010288	16729	1	13120	1275.07622	363.465352
REF_NM_001199188	26411	1	20780	1270.981713	362.2981973
REF_NM_008129	27393	1	21659	1264.739831	360.5189249
REF_NM_011239	11004	1	8716	1262.505737	359.8820877
REF_NM_080452	3928	1	3112	1262.210797	359.7980141
REF_NM_025592	4476	1	3551	1260.490003	359.3074951
REF_NM_010590	12814	1	10193	1257.137251	358.3517804
REF_NM_148952	9678	1	7708	1255.57862	357.9074866
REF_NM_023464	1721	1	1380	1247.101449	355.4910367
REF_NR_126539	24045	1	19289	1246.5654	355.3382338
REF_NM_001170540	8856	1	7110	1245.56962	355.054383
REF_NM_007749	2488	1	1998	1245.245245	354.9619187
REF_NM_024461	2236	1	1798	1243.604004	354.4940767
REF_NM_011623	38739	1	31243	1239.925743	353.4455743
REF_NM_145625	29013	1	23401	1239.818811	353.4150929
REF_NM_175126	3820	1	3089	1236.646164	352.5107176
REF_NM_010860	3742	1	3028	1235.799207	352.2692895
REF_NM_009838	35911	1	29088	1234.564081	351.9172121
REF_NM_175130	37727	1	30626	1231.861817	351.1469212
REF_NM_026988	5261	1	4272	1231.507491	351.0459192
REF_NM_197979	2927	1	2377	1231.384098	351.0107455
REF_NM_025963	5923	1	4814	1230.369755	350.7216033
REF_NM_026064	10749	1	8741	1229.722	350.5369582
REF_NM_153599	87191	1	71200	1224.592697	349.0748307
REF_NM_146200	23799	1	19456	1223.221628	348.6840025
REF_NM_025344	9165	1	7528	1217.454835	347.0401561
REF_NM_025703	3962	1	3268	1212.362301	345.5885097
REF_NM_025849	1130	1	933	1211.146838	345.2420374
REF_NM_016737	23365	1	19331	1208.680358	344.5389578
REF_NM_019419	12971	1	10736	1208.178092	344.395785
REF_NM_001040187	22956	1	19046	1205.29245	343.5732216
REF_NM_025983	3643	1	3027	1203.501817	343.0627948
REF_NM_011750	17178	1	14349	1197.156596	341.2540654
REF_NM_173867	25971	1	21748	1194.178775	340.4052261
REF_NM_008705	7652	1	6443	1187.645507	338.542893
REF_NR_038152	1304	1	1098	1187.613843	338.5338672
REF_NM_011289	3976	1	3352	1186.157518	338.1187361
REF_NM_008563	20326	1	17200	1181.744186	336.8606989
REF_NM_025318	1819	1	1540	1181.168831	336.6966918
REF_NM_001105667	11022	1	9359	1177.689924	335.7050161
REF_NM_145222	4809	1	4085	1177.233782	335.5749911
REF_NM_025933	1072	1	917	1169.029444	333.2363131
REF_NM_026020	4307	1	3693	1166.260493	332.447013
REF_NM_133705	4446	1	3815	1165.399738	332.2016515
REF_NM_010890	101843	1	87502	1163.893397	331.7722632
REF_NM_028190	37856	1	32597	1161.333865	331.0426589
REF_NM_031842	13593	1	11709	1160.90187	330.9195172
REF_NM_001081415	3148	1	2715	1159.484346	330.5154465
REF_NM_001271745	44335	1	38282	1158.116086	330.1254186
REF_NM_001276316	28810	1	24878	1158.05129	330.1069484
REF_NM_007631	11573	1	9995	1157.878939	330.0578192
REF_NM_019771	32398	1	27994	1157.319426	329.8983276
REF_NM_021513	2137	1	1848	1156.385281	329.6320462
REF_NM_026602	8579	1	7444	1152.471789	328.5164903
REF_NM_001177469	1309	1	1136	1152.288732	328.4643093
REF_NM_007725	7813	1	6801	1148.801647	327.4703022
REF_NM_011304	14423	1	12567	1147.68839	327.1529641
REF_NM_001289831	8188	1	7145	1145.976207	326.6648998
REF_NM_011671	7185	1	6272	1145.567602	326.5484253
REF_NM_009786	12054	1	10526	1145.164355	326.4334782
REF_NM_031405	13682	1	11971	1142.928744	325.7962089
REF_NM_023133	5782	1	5089	1136.176066	323.8713321
REF_NM_007512	5478	1	4860	1127.160494	321.3014088
REF_NM_172301	8723	1	7748	1125.838926	320.9246909
REF_NM_183020	13039	1	11595	1124.536438	320.5534117
REF_NM_026517	2136	1	1905	1121.259843	319.6194055
REF_NM_026982	1156	1	1034	1117.988395	318.6868668
REF_NM_025591	4889	1	4376	1117.230347	318.4707825
REF_NM_011738	10221	1	9151	1116.927112	318.3843441
REF_NM_011400	31898	1	28585	1115.899948	318.091547
REF_NM_009575	6664	1	6003	1110.111611	316.4415595
REF_NM_001002239	3212	1	2905	1105.679862	315.1782726
REF_NM_016754	2958	1	2680	1103.731343	314.6228398
REF_NM_024227	3422	1	3111	1099.967856	313.5500434
REF_NM_001302540	20822	1	18931	1099.889071	313.5275854
REF_NM_011149	7100	1	6461	1098.901099	313.2459602
REF_NM_001285942	11555	1	10517	1098.697347	313.18788
REF_NM_001170935	15555	1	14160	1098.516949	313.1364568
REF_NM_026211	4993	1	4560	1094.95614	312.1214347
REF_NM_027015	1074	1	982	1093.686354	311.7594773
REF_NM_144509	2279	1	2088	1091.475096	311.1291496
REF_NM_007930	13026	1	11936	1091.320375	311.0850459
REF_NM_145606	9288	1	8528	1089.118199	310.4573071
REF_NM_001286605	3116	1	2867	1086.850366	309.8108528
REF_NM_019468	1774	1	1635	1085.015291	309.2877574
REF_NM_001252468	13142	1	12145	1082.091396	308.45429
REF_NM_010312	5509	1	5101	1079.984317	307.8536591
REF_NM_175833	13686	1	12679	1079.422667	307.6935588
REF_NM_009749	1791	1	1672	1071.172249	305.3417454
REF_NM_013768	10988	1	10289	1067.936631	304.4194203
REF_NM_026545	6919	1	6487	1066.594728	304.0369056
REF_NM_008565	14397	1	13504	1066.128555	303.9040211
REF_NM_001165971	1241	1	1165	1065.236052	303.6496097
REF_NM_009836	26222	1	24632	1064.550179	303.454099
REF_NM_001081695	22678	1	21336	1062.898388	302.9832497
