Start	Stop	Gene	ESC_WT.bam
1102871	1113717	REP_L1Md_T	18
1117221	1119300	REP_ORR1A1-int	0
1120585	1126744	REP_L1Md_A	11
1139763	1147345	REP_IAPLTR3-int	1
1149411	1156850	REP_IAPEY3-int	0
1171896	1178589	REP_L1Md_F	0
1181448	1183640	REP_L1_Mus3	0
1183651	1186099	REP_ORR1A1-int	0
1191456	1196979	REP_L1Md_F2	0
1229390	1232567	REP_L1Md_T	0
1246704	1252990	REP_L1Md_F2	0
1273159	1280651	REP_MMERVK10C-int	1
1280655	1282662	REP_L1Md_A	0
1283106	1289301	REP_L1Md_T	3
1291938	1300666	REP_MERVL_2A-int	2
1300685	1304641	REP_L1Md_F3	1
1329159	1332529	REP_MMERVK10C-int	0
1366153	1369071	REP_L1Md_T	3
1369297	1371838	REP_Lx2	0
1379159	1384674	REP_Lx2B	0
1395505	1398154	REP_L1_Rod	0
1398173	1401616	REP_L1_Mur1	0
1406918	1412105	REP_L1VL2	0
1414216	1416284	REP_L1_Mur2	0
1416628	1420471	REP_L1Md_F2	0
1440908	1442929	REP_Lx2B	0
1450216	1453872	REP_L1Md_A	0
1453878	1460355	REP_L1Md_T	13
1460358	1466765	REP_L1Md_A	0
1469223	1471266	REP_ORR1C2-int	0
1490879	1492944	REP_L1Md_F2	0
1499807	1505767	REP_L1Md_A	1
1505784	1508614	REP_RLTR45-int	0
1540882	1544796	REP_MERVL-int	5
1567126	1570496	REP_MMERVK10C-int	0
1614519	1618245	REP_L1Md_F2	0
1619933	1623995	REP_L1Md_F2	0
1627299	1632343	REP_L1VL2	0
1658885	1664797	REP_L1Md_F2	4
1666276	1669732	REP_MMERVK10C-int	0
1685752	1689426	REP_L1Md_F2	0
1690651	1695970	REP_L1Md_F2	0
1731673	1743036	REP_MMERVK10C-int	0
1747194	1751047	REP_L1Md_F2	1
1761570	1768033	REP_L1_Mus2	0
1771726	1777962	REP_RLTR6-int	1
1809625	1812886	REP_L1VL4	0
1812892	1819554	REP_L1Md_F2	3
1819556	1821856	REP_L1_Mus1	0
1835591	1843764	REP_MMERGLN-int	388
1858171	1870653	REP_IAPEz-int	27
1875672	1881834	REP_L1Md_A	4
1956234	1962389	REP_L1Md_T	7
1967406	1973421	REP_L1Md_T	5
2012090	2020365	REP_MMERGLN-int	112
2032955	2040167	REP_IAPEz-int	19
2067587	2071615	REP_L1_Mus1	0
2130313	2137525	REP_IAPEz-int	13
2368223	2372290	REP_L1_Mus1	0
2425205	2429262	REP_L1_Mus1	0
2436519	2440844	REP_L1_Mus1	0
2458325	2460394	REP_L1_Mur3	0
2509227	2515845	REP_L1Md_F3	0
2530063	2542530	REP_L1Md_A	28
2543497	2546957	REP_RLTR44-int	0
2552259	2555644	REP_RLTR45-int	2
2572388	2575210	REP_L1_Mm	0
2576259	2578944	REP_IAPEY3-int	0
2580433	2582894	REP_MMETn-int	2
2585405	2589276	REP_L1VL2	0
2590931	2598045	REP_L1Md_T	4
2612235	2617626	REP_IAPLTR3-int	0
2618414	2620693	REP_IAPLTR3-int	0
2622255	2628142	REP_MERVL-int	1
2640278	2643769	REP_L1Md_F2	1
2646355	2650395	REP_L1_Mus1	0
2654064	2656615	REP_RLTR45-int	1
2673923	2680113	REP_L1Md_F2	1
2682403	2687724	REP_L1Md_F	4
2687752	2692209	REP_SYNREP_MM	0
2695216	2766398	REP_SYNREP_MM	0
2766473	2768935	REP_SYNREP_MM	0
2768974	2777550	REP_SYNREP_MM	0
2847387	2853416	REP_MuRRS4-int	2
2872840	2875754	REP_L1Md_T	0
2877287	2879432	REP_L1_Mm	0
2892269	2898681	REP_L1Md_F2	0
2898687	2901267	REP_MMERGLN-int	0
3001215	3007926	REP_L1_Mus1	0
3009694	3017948	REP_RLTR6-int	1
3018057	3022635	REP_L1VL1	0
3025712	3030007	REP_MTA_Mm-int	3
3037114	3041403	REP_L1_Mus3	0
3050133	3052956	REP_ORR1A3-int	0
3057064	3060252	REP_L1_Mur2	0
3063269	3069571	REP_L1Md_F2	0
3069992	3072450	REP_L1_Mur2	0
3081423	3086012	REP_L1_Mus3	0
3090394	3094115	REP_ETnERV2-int	0
3094832	3098334	REP_MuRRS4-int	0
3102240	3106798	REP_L1Md_A	0
3106907	3115075	REP_RLTR6-int	0
3131486	3135447	REP_Lx4A	1
3138117	3141834	REP_L1_Mur2	1
3143066	3146456	REP_RLTR45-int	0
3146478	3148659	REP_RLTR45-int	1
3150951	3153428	REP_ORR1A2-int	0
3160820	3167325	REP_L1Md_F2	1
3171072	3177589	REP_L1Md_F2	1
3180060	3184287	REP_RMER16-int	1
3197942	3203558	REP_L1Md_F	0
3224077	3230735	REP_L1_Mus3	0
3235032	3238267	REP_L1_Mus3	0
3250554	3267654	REP_IAPEz-int	6
3268502	3281049	REP_MERVL-int	8
3284126	3286526	REP_L1_Mus1	0
3288720	3294282	REP_L1Md_T	1
3302869	3307149	REP_L1_Mus3	0
3311114	3316676	REP_L1Md_T	2
3371899	3376174	REP_L1_Mus3	0
3385185	3388018	REP_ORR1A3-int	0
3392915	3395217	REP_L1_Mur2	0
3398230	3405206	REP_L1_Mus2	0
3414551	3419541	REP_IAPEz-int	9
3421425	3424512	REP_L1_Mus3	0
3426778	3432349	REP_RLTR6-int	0
3437460	3439954	REP_ORR1A2-int	0
3443091	3445373	REP_L1_Mur2	0
3446536	3452379	REP_L1_Mur2	0
3454721	3457956	REP_L1_Mus3	0
3470259	3474827	REP_L1_Mus1	1
3474855	3480220	REP_L1Md_T	3
3481068	3487208	REP_L1Md_F2	2
3493250	3495650	REP_L1_Mus1	1
3497845	3503409	REP_L1Md_T	1
3507377	3509886	REP_RLTR13D5	0
3520665	3523501	REP_ORR1A3-int	0
3528397	3530699	REP_L1_Mur2	0
3533715	3540612	REP_L1Md_A	1
3550961	3555557	REP_L1_Mus3	0
3559675	3562741	REP_ETnERV2-int	0
3564273	3567703	REP_MuRRS4-int	0
3571638	3574455	REP_L1_Mm	0
3635414	3637539	REP_L1VL4	0
3637977	3641127	REP_L1_Mur2	0
3643430	3645930	REP_ORR1A2-int	1
3651095	3656529	REP_RLTR6-int	4
3658810	3662080	REP_L1_Mus3	0
3671260	3673419	REP_L1_Mur3	1
3673727	3680707	REP_L1_Mus2	1
3683720	3686021	REP_L1_Mur2	0
3690918	3693749	REP_ORR1A3-int	0
3704525	3707034	REP_RLTR13D5	0
3711001	3716555	REP_L1Md_T	0
3718771	3721169	REP_L1_Mus1	0
3724248	3730389	REP_L1Md_F2	1
3731418	3736602	REP_L1Md_T	0
3736605	3741178	REP_L1_Mus1	1
3753467	3756702	REP_L1_Mus3	1
3759039	3763697	REP_RLTR6-int	1
3769752	3772292	REP_ORR1A2-int	0
3775436	3777719	REP_L1_Mur2	0
3778157	3784249	REP_Lx4A	0
3802241	3805081	REP_L1_Mm	0
3809017	3812447	REP_MuRRS4-int	0
3814173	3817052	REP_ETnERV2-int	0
3821160	3825764	REP_L1_Mus3	0
3834706	3843352	REP_L1Md_T	0
3843583	3851076	REP_L1Md_F2	5802
3854156	3856554	REP_L1_Mus1	0
3858767	3864321	REP_L1Md_T	2
3868287	3870791	REP_RLTR13D5	0
3881541	3884373	REP_ORR1A3-int	0
3889270	3891571	REP_L1_Mur2	0
3894584	3901574	REP_L1_Mus2	0
3912255	3915531	REP_L1_Mus3	0
3971467	3973954	REP_ORR1A2-int	0
3979089	3984659	REP_RLTR6-int	2
3986938	3990201	REP_L1_Mus3	0
4002503	4007044	REP_L1_Mus1	0
4007073	4012443	REP_L1Md_T	0
4013291	4019398	REP_L1Md_F2	0
4022478	4024877	REP_L1_Mus1	0
4027090	4032643	REP_L1Md_T	1
4036609	4039121	REP_RLTR13D5	0
4049468	4052302	REP_ORR1A3-int	0
4057199	4059500	REP_L1_Mur2	0
4062514	4069498	REP_L1_Mus2	0
4080322	4083596	REP_L1_Mus3	0
4085853	4092088	REP_RLTR6-int	0
4096633	4099134	REP_ORR1A2-int	0
4101410	4104564	REP_L1_Mur2	0
4104942	4111092	REP_Lx4A	0
4129080	4131926	REP_L1_Mm	0
4135877	4139308	REP_MuRRS4-int	0
4141034	4143878	REP_ETnERV2-int	0
4148867	4150905	REP_RLTR10-int	10
4151505	4155817	REP_L1_Mus3	0
4162904	4168147	REP_IAPEz-int	22
4170014	4172445	REP_Lx4A	0
4172851	4179149	REP_L1Md_F2	0
4179151	4181272	REP_Lx4A	0
4181718	4183787	REP_L1_Mur2	0
4189014	4191842	REP_ORR1A3-int	0
4202737	4206615	REP_L1_Mus3	1
4208518	4213061	REP_L1_Mus1	0
4225356	4228602	REP_L1_Mus3	0
4232220	4239557	REP_L1_Mus3	0
4259830	4265448	REP_L1Md_F	0
4279273	4283514	REP_RMER16-int	0
4285994	4292492	REP_L1Md_F2	0
4296219	4302723	REP_L1Md_Gf	0
4310169	4312651	REP_ORR1A2-int	0
4314943	4317123	REP_RLTR45-int	0
4317145	4320535	REP_RLTR45-int	0
4321767	4325387	REP_L1_Mur2	0
4328059	4330585	REP_L1_Mur1	0
4389251	4392082	REP_ORR1A3-int	0
4402858	4405367	REP_RLTR13D5	0
4409334	4414888	REP_L1Md_T	2
4417104	4419502	REP_L1_Mus1	0
4422581	4428724	REP_L1Md_F2	2
4429753	4434937	REP_L1Md_T	6
4434940	4439513	REP_L1_Mus1	0
4451792	4455062	REP_L1_Mus3	0
4457343	4462777	REP_RLTR6-int	1
4467942	4470442	REP_ORR1A2-int	0
4472745	4475895	REP_L1_Mur2	0
4476333	4482424	REP_Lx4A	0
4500957	4503783	REP_L1_Mm	0
4507738	4511167	REP_MuRRS4-int	0
4511957	4515795	REP_ETnERV2-int	1
4519911	4524505	REP_L1_Mus3	0
4534811	4542028	REP_L1Md_T	0
4542259	4549740	REP_L1Md_F2	6873
4553613	4559164	REP_L1Md_T	4
4572687	4575521	REP_ORR1A3-int	0
4580423	4582723	REP_L1_Mur2	0
4585737	4592718	REP_L1_Mus2	0
4603529	4606212	REP_L1_Mus3	0
4656212	4658230	REP_L1Md_F2	0
4673306	4675561	REP_RMER16-int	0
4684267	4686793	REP_ORR1A2-int	3
4689085	4691266	REP_RLTR45-int	2
4691288	4694677	REP_RLTR45-int	2
4696648	4698702	REP_RMER17D	0
4701798	4707899	REP_L1Md_F2	0
4708933	4718779	REP_L1_Mus1	3
4731068	4734299	REP_L1_Mus3	0
4737544	4743979	REP_MERVL-int	10
4745048	4751707	REP_L1_Mus3	0
4772250	4779957	REP_IAPEz-int	17
4779966	4784922	REP_L1Md_F	2
4798522	4802727	REP_RMER16-int	0
4805195	4811713	REP_L1Md_F2	0
4815458	4821960	REP_L1Md_Gf	0
4829348	4831833	REP_ORR1A2-int	0
4836060	4839453	REP_RLTR45-int	2
4840685	4844413	REP_L1_Mur2	0
4847082	4851042	REP_Lx4A	0
4867422	4875590	REP_RLTR6-int	1
4875699	4880252	REP_L1Md_A	0
4884144	4887574	REP_MuRRS4-int	1
4888365	4892100	REP_ETnERV2-int	0
4896205	4900631	REP_L1VL2	0
4900657	4913005	REP_L1Md_T	34
4921910	4924394	REP_L1VL4	0
4924836	4931102	REP_L1Md_F2	1
4934107	4937276	REP_L1_Mur2	0
4944015	4946696	REP_MuRRS-int	2
4946728	4949735	REP_MuRRS-int	3
4960632	4963038	REP_RLTR13D5	0
4979911	4983420	REP_L1Md_A	0
4985593	4989749	REP_L1Md_F2	0
4993176	4996791	REP_ORR1A4-int	0
4997907	5000614	REP_Lx3B	0
5009692	5013288	REP_L1_Mur3	0
5051821	5054270	REP_ORR1A0-int	0
5055990	5058406	REP_ORR1A1-int	3
5059470	5063557	REP_L1_Mus1	0
5073991	5076094	REP_MTE2a-int	0
5083505	5089694	REP_L1_Mus3	0
5089705	5101414	REP_L1_Mus2	0
5101425	5109199	REP_L1_Mus3	0
5111547	5121616	REP_L1_Mus1	0
5127019	5129304	REP_L1Md_F2	0
5129540	5131824	REP_L1Md_F2	0
5135072	5139077	REP_IAPLTR3-int	0
5139081	5155886	REP_L1Md_F2	2
5155889	5162891	REP_L1_Mus2	0
5162902	5169129	REP_L1_Mus3	0
5174716	5177606	REP_L1_Mm	0
5177757	5180561	REP_L1_Mm	0
5181997	5185196	REP_L1_Mur2	0
5211332	5219227	REP_L1Md_T	6
5219292	5225232	REP_L1Md_A	17
5225992	5229839	REP_L1VL1	0
5229844	5236135	REP_L1Md_F2	0
5236460	5240703	REP_L1_Mus2	0
5265737	5269361	REP_L1Md_T	8
5270210	5274649	REP_RLTR19-int	0
5280614	5285923	REP_L1_Mus3	0
5291538	5294946	REP_L1_Mm	0
5294989	5301903	REP_IAP-d-int	0
5311424	5313605	REP_RodERV21-int	0
5318919	5322271	REP_L1VL2	0
5344413	5351305	REP_L1_Mus3	0
5354407	5357294	REP_L1_Mur3	0
5360667	5364737	REP_L1Md_F3	0
5364751	5371071	REP_L1Md_F2	1
5400042	5402519	REP_Lx7	0
5404964	5407554	REP_L1Md_T	8
5433220	5435344	REP_ORR1A0-int	1
5454571	5457020	REP_L1Md_T	3
5463193	5469455	REP_L1VL4	0
5486226	5488493	REP_MYSERV6-int	3
5488502	5490844	REP_L1Md_F2	0
5520075	5523293	REP_Lx9	1
5570875	5574316	REP_L1Md_F3	0
5576176	5579154	REP_L1M2	0
5583973	5587188	REP_Lx6	0
5587190	5589226	REP_L1Md_F2	0
5594834	5597381	REP_Lx4A	0
5601071	5604894	REP_RLTR14-int	2
5620339	5623023	REP_Lx2B	0
5711297	5716502	REP_L1Md_F2	1
5722546	5726683	REP_L1_Mus1	6
5732755	5735671	REP_L1VL4	0
5751973	5754646	REP_Lx2B	1
5754961	5757059	REP_L1_Mus2	3
5770403	5774179	REP_RLTR14-int	0
5851618	5855230	REP_L1Md_A	0
5858605	5862478	REP_L1_Mur3	0
5863591	5870436	REP_L1Md_F2	1
5876745	5879106	REP_Lx5	0
5885924	5890154	REP_Lx7	0
5909494	5911718	REP_L1Md_F2	2
5927445	5930718	REP_Lx9	0
5949141	5951576	REP_Lx5	0
5953042	5955535	REP_L1_Mur2	0
5957441	5964305	REP_Lx6	14
6036809	6040501	REP_Lx7	0
6081055	6087641	REP_L1_Mus1	0
6127137	6132510	REP_L1_Mm	0
6143460	6150042	REP_L1Md_T	20
6182032	6184529	REP_Lx9	0
6188722	6194670	REP_L1Md_F3	0
6234785	6237541	REP_L1_Mur3	4
6247628	6250132	REP_L1Md_F2	0
6272814	6276449	REP_L1_Mur1	0
6288773	6297026	REP_L1Md_F2	1
6494253	6498369	REP_L1_Mus1	0
6526981	6529271	REP_RLTR25B	0
6535473	6537895	REP_Lx5	0
6551326	6556491	REP_L1_Mus1	3
6558153	6561739	REP_L1_Rod	0
6577527	6581013	REP_MuRRS-int	1
6593319	6595928	REP_Lx2	0
6609257	6612292	REP_L1VL2	0
6635900	6638633	REP_RLTR14-int	0
6674296	6677419	REP_L1VL2	0
6688155	6691481	REP_MERVL_2A-int	1
6790962	6793002	REP_Lx	0
6799584	6802493	REP_L1Md_T	3
6809062	6811400	REP_RMER6C	0
6847862	6850506	REP_MTA_Mm-int	0
6905302	6907394	REP_Lx6	0
6911168	6918649	REP_MERVL_2A-int	0
6965021	6970930	REP_Lx7	0
7009299	7011428	REP_MTB-int	0
7036140	7038411	REP_L1Md_F2	0
7063569	7067063	REP_L1_Mus3	0
7071380	7077689	REP_L1VL2	0
7086030	7090034	REP_Lx6	0
7091334	7093433	REP_Lx6	0
7093443	7095995	REP_Lx3C	0
7359387	7361644	REP_MERVL_2A-int	2
7573123	7576093	REP_L1_Rod	3
7879581	7883803	REP_L1Md_F2	1
7894210	7898068	REP_Lx7	1
7920543	7925301	REP_L1_Mm	2
7925310	7930500	REP_L1Md_F	0
7933638	7935787	REP_L1Md_F2	0
7955692	7966220	REP_L1Md_A	7
7966223	7970090	REP_L1Md_T	5
7971786	7978163	REP_L1Md_F2	0
7981384	7984137	REP_L1_Mm	0
8004112	8006590	REP_L1Md_T	1
8006598	8014774	REP_L1_Mm	5
8019077	8023077	REP_L1Md_T	13
8045372	8055732	REP_Lx7	1
8055758	8080394	REP_L1Md_T	20
8094972	8100188	REP_IAPEz-int	36
8105406	8109075	REP_L1_Mm	0
8127252	8135064	REP_L1Md_A	12
8144136	8150524	REP_L1Md_F2	1
8152211	8157363	REP_L1Md_A	1
8177390	8180790	REP_L1Md_A	1
8190002	8192193	REP_IAPLTR3-int	0
8195012	8201829	REP_L1Md_F	0
8226964	8229422	REP_L1Md_F3	0
8233132	8239369	REP_L1Md_T	11
8243014	8245059	REP_L1Md_F2	0
8247150	8253151	REP_L1Md_F	0
8283308	8285650	REP_Lx6	0
8289172	8294453	REP_L1Md_T	18
8312183	8315502	REP_Lx7	0
8333714	8339977	REP_L1Md_T	7
8345156	8347193	REP_MuRRS-int	0
8350446	8352634	REP_L1Md_F2	0
8354784	8360615	REP_L1Md_F	0
8361303	8363476	REP_L1Md_F2	0
8367940	8373846	REP_ETnERV3-int	1
8395401	8402283	REP_L1Md_T	10
8410755	8413753	REP_Lx7	0
8430992	8433414	REP_RLTR44-int	2
8436991	8440052	REP_ORR1A0-int	11
8441853	8445500	REP_Lx6	5
8464089	8466190	REP_ORR1A2-int	0
8472383	8475437	REP_L1_Rod	0
8528561	8530648	REP_ORR1A2-int	0
8542938	8547072	REP_L1Md_A	0
8556467	8558941	REP_L1Md_T	1
8574631	8580043	REP_L1Md_T	5
8615451	8617924	REP_L1Md_T	0
8630039	8632119	REP_ORR1A2-int	1
8633177	8636208	REP_L1Md_A	3
8646801	8648881	REP_ORR1A2-int	1
8649937	8652968	REP_L1Md_A	1
8661535	8663932	REP_RLTR13B2	0
8664217	8668335	REP_ORR1A0-int	2
8668337	8672885	REP_L1Md_F	0
8741034	8743114	REP_L1_Mm	0
8923041	8925757	REP_IAPEz-int	1
8937404	8947384	REP_L1Md_F2	3
8947607	8949783	REP_L1_Mm	1
8956208	8962851	REP_L1Md_F	1
8967426	8972838	REP_L1Md_T	8
8995698	8997730	REP_L1_Mm	0
8997756	9000000	REP_Lx	0
9004419	9011397	REP_L1Md_A	11
9052822	9057756	REP_ETnERV2-int	1
9059579	9064194	REP_MMVL30-int	5
9080207	9087798	REP_L1Md_A	3
9098723	9102128	REP_L1Md_T	6
9114251	9120891	REP_L1Md_F3	1
9120896	9128319	REP_L1_Mus1	0
9133169	9135706	REP_MTA_Mm-int	1
9142128	9147373	REP_L1Md_T	6
9166944	9173505	REP_L1Md_T	11
9174116	9181265	REP_IAP-d-int	0
9185987	9193107	REP_L1Md_F2	4
9196089	9198295	REP_RLTR44-int	0
9200151	9209145	REP_L1Md_T	11
9216152	9219076	REP_RMER17A-int	5
9220601	9223296	REP_IAPEz-int	1
9250125	9258871	REP_MMERGLN-int	5
9280777	9291202	REP_L1Md_A	4
9295539	9301935	REP_L1Md_A	5
9371053	9373662	REP_ORR1D1-int	0
9390508	9395020	REP_L1Md_A	0
9399688	9403866	REP_L1_Mus1	1
9435880	9437963	REP_MTE2a-int	0
9448346	9452270	REP_L1_Mus2	0
9466918	9473328	REP_L1Md_A	3
9493334	9500000	REP_L1Md_T	6
9500004	9505261	REP_L1Md_Gf	8
9543070	9549550	REP_L1Md_T	6
9554249	9558894	REP_Lx2	0
9591450	9598979	REP_L1Md_F2	1
9627012	9629058	REP_L1VL2	0
9702797	9705495	REP_L1_Mus2	0
9764137	9770866	REP_Lx	5
9798556	9800735	REP_L1_Mur3	0
9898175	9903395	REP_L1Md_F2	0
9909504	9912366	REP_L1_Mus1	0
9927998	9931196	REP_Lx6	0
9935606	9939497	REP_L1_Mm	0
9949697	9954934	REP_Lx6	0
9958176	9960292	REP_Lx2	0
9980184	9985597	REP_L1Md_T	5
10011549	10017555	REP_L1Md_F2	0
10049444	10051724	REP_ORR1A1-int	0
10101920	10108408	REP_L1Md_T	24
10195470	10197605	REP_Lx8	0
10209325	10212274	REP_L1Md_F2	0
10231591	10236074	REP_Lx7	0
10372319	10375155	REP_L1Md_T	1
10503177	10509951	REP_Lx6	1
10513312	10519471	REP_L1Md_F2	0
10527261	10533283	REP_L1Md_T	2
10542283	10549835	REP_L1Md_T	15
10582564	10585139	REP_L1M4c	0
10585337	10589475	REP_Lx2B	0
10608896	10614957	REP_L1Md_F2	1
10628132	10634029	REP_L1Md_F2	0
10644476	10650790	REP_L1Md_F2	0
10693421	10695801	REP_L1MD	0
10721864	10728707	REP_L1Md_A	6
11224005	11226331	REP_ORR1D2-int	0
11547202	11549407	REP_Lx6	0
11592775	11595163	REP_ORR1A3-int	1
11739075	11741538	REP_ORR1A1-int	11
11808526	11815668	REP_IAPEz-int	9
11844560	11847741	REP_L1VL2	0
11937995	11941096	REP_RMER17C-int	0
11971923	11975763	REP_ORR1A4-int	2
11990944	11997693	REP_MERVL_2A-int	1
12058234	12060374	REP_Lx7	0
12063672	12065675	REP_ORR1C1-int	0
12108765	12110994	REP_L1Md_F2	0
12125451	12127883	REP_ORR1A4-int	0
12197408	12199757	REP_L1_Mur1	2
12275586	12277783	REP_MYSERV16_I-int	23
12353118	12361064	REP_Lx4A	1
12362775	12366514	REP_L1Md_F2	0
12481535	12486284	REP_Lx7	1
12533707	12535764	REP_L1Md_F2	0
12636422	12639256	REP_L1MCa	0
12876230	12878479	REP_ETnERV2-int	7
12891601	12902943	REP_MERVL-int	11
12910575	12915195	REP_MurERV4_19-int	0
12915827	12917948	REP_Lx2	2
12939506	12942611	REP_RLTR19-int	0
12943105	12945952	REP_RLTR19-int	2
12958801	12961802	REP_Lx5	0
12984573	12986679	REP_MERVL_2A-int	0
12987517	12989877	REP_MERVL_2A-int	0
12996536	12999939	REP_Lx4A	0
13000000	13004566	REP_L1_Mur2	1
13019998	13022824	REP_L1Md_F2	0
13218411	13223290	REP_L1Md_T	24
13319892	13323017	REP_Lx5	0
13324097	13326873	REP_MTA_Mm-int	0
13345158	13350067	REP_Lx	0
13440106	13444438	REP_Lx2B	0
13506744	13508766	REP_Lx3_Mus	0
13519987	13522169	REP_L1Md_F2	0
13522505	13534110	REP_L1Md_T	8
13534112	13541896	REP_Lx	0
13545499	13551691	REP_L1Md_F2	1
13562613	13565110	REP_Lx4A	0
13598538	13602688	REP_Lx3_Mus	2
13603965	13610553	REP_L1_Mus1	0
13611628	13614440	REP_L1VL4	0
13622742	13628530	REP_Lx	0
13644416	13647919	REP_Lx6	0
13647930	13654092	REP_L1_Mus1	0
13654718	13661087	REP_L1VL4	0
13661121	13663256	REP_Lx3B	0
13670337	13674442	REP_L1Md_F2	1
13680179	13683497	REP_L1VL4	0
13683846	13686327	REP_Lx5	0
13720776	13728479	REP_L1Md_A	7
13735831	13738849	REP_Lx2	0
13748960	13757202	REP_L1_Mus1	5
13767784	13774733	REP_L1Md_T	17
13801435	13804625	REP_L1VL4	0
13822670	13829803	REP_L1_Mus1	2
13871673	13874935	REP_L1Md_F2	0
13880227	13882885	REP_MERVL_2A-int	0
13883497	13890166	REP_L1_Mus3	2
13915953	13918549	REP_Lx	1
13920384	13925284	REP_L1_Mus1	0
13935780	13939090	REP_L1VL4	0
13949174	13951781	REP_L1_Mus4	1
13953708	13956327	REP_L1_Mur2	0
13956773	13963156	REP_L1Md_F2	0
13971726	13973874	REP_L1M2	0
13978906	13984325	REP_L1Md_F2	0
13985380	13989246	REP_L1_Mm	4
13989254	13994385	REP_L1Md_F	4
13994387	13998077	REP_L1Md_F2	1
14002793	14007362	REP_Lx3_Mus	0
14007367	14013508	REP_L1Md_F2	0
14025584	14038243	REP_L1Md_F2	1
14047058	14050329	REP_L1_Mus1	0
14050384	14052536	REP_L1_Mm	0
14057684	14063714	REP_L1_Mus1	1
14066353	14069062	REP_L1Md_Gf	12
14075566	14080721	REP_L1Md_F2	1
14086370	14088425	REP_MTA_Mm-int	0
14090849	14102049	REP_L1Md_F2	3
14102055	14105459	REP_Lx7	0
14107343	14113488	REP_L1_Mus3	0
14137096	14143367	REP_L1Md_F2	5
14145550	14155702	REP_L1Md_T	35
14155704	14157738	REP_Lx2B	12
14165999	14168860	REP_L1Md_T	2
14193946	14196286	REP_L1Md_F3	1
14220941	14224461	REP_Lx	0
14226723	14229330	REP_L1Md_F	0
14243773	14247691	REP_L1_Mus4	0
14280340	14282850	REP_L1_Mus2	3
14286034	14291672	REP_L1Md_F2	1
14300680	14305075	REP_L1Md_F2	0
14325584	14330440	REP_L1_Mur1	0
14336577	14341475	REP_L1_Mus3	0
14348368	14358672	REP_L1Md_F3	2
14363127	14370050	REP_L1_Mus1	2
14373732	14376210	REP_RMER16-int	0
14382022	14387972	REP_Lx3_Mus	0
14388511	14393924	REP_L1Md_T	9
14393930	14396207	REP_L1Md_T	3
14397693	14399901	REP_IAPEz-int	1
14403348	14410052	REP_L1_Mus4	0
